date,a2c,dji
2022-10-24,955480.5007296182,917648.3179544206
2022-10-25,971192.6346560098,927469.34478162
2022-10-26,973602.9122439005,927538.3626925929
2022-10-27,973146.4867525675,933194.9295675916
2022-10-28,988794.2205477335,957331.4546198986
2022-10-31,982839.9777193643,953577.7451205532
2022-11-01,977858.7352724649,951254.4645427738
2022-11-02,955426.3645144083,936529.9797190897
2022-11-03,951543.5631075479,932261.8506541168
2022-11-04,961916.328366337,943972.0792109404
2022-11-07,966406.0605593302,956317.6366992756
2022-11-08,967831.8008852579,966042.7326131193
2022-11-09,952303.4432039835,947197.5428030535
2022-11-10,986909.3117037393,982197.7032568944
2022-11-11,992478.538937626,983144.153323773
2022-11-14,982492.8134890177,976992.6261787383
2022-11-15,992121.2598085977,978630.5071228988
2022-11-16,991522.8621645548,977491.6262440578
2022-11-17,988096.260296879,977272.908313489
2022-11-18,996201.0588808634,983080.9959608875
2022-11-21,999355.3342104532,981758.1052518021
2022-11-22,1007689.2150393106,993347.4244427414
2022-11-23,1014029.0109072305,996142.848981983
2022-11-25,1014668.3354464151,1000599.2552665843
2022-11-28,1010174.7260866739,986104.0146006166
2022-11-29,1006491.6471224405,986193.4590821085
2022-11-30,1030500.5838900186,1007670.7177657906
2022-12-01,1027028.468625126,1001997.0244347303
2022-12-02,1030106.7926455118,1003012.7769052073
2022-12-05,1012722.4263887979,988948.4856685133
2022-12-06,1003979.5030489542,978730.0795418622
2022-12-07,1005550.2760134317,978776.1673472109
2022-12-08,1012074.6819887735,984123.604535222
2022-12-09,1005142.6354952432,975237.7618669271
2022-12-12,1013649.7996035196,990636.3235177308
2022-12-13,1012573.595868168,993654.4488842995
2022-12-14,1010139.9680452921,989509.2775321152
2022-12-15,993126.0327120401,967248.5261575038
2022-12-16,984731.8677034952,959040.3449234111
2022-12-19,980252.6994906046,954294.0975518386
2022-12-20,976797.3358431436,956980.0493287453
2022-12-21,987989.2281618692,972325.1263659345
2022-12-22,979957.6058779337,962158.2703030438
2022-12-23,985464.6419191934,967298.3692655106
2022-12-27,985091.8145266153,968394.57625051
2022-12-28,973795.2063570597,957736.685915817
2022-12-29,983044.8328371622,967789.858725514
2022-12-30,978734.2493563272,965647.1740664716
2023-01-03,974519.4194002725,965330.2492815424
2023-01-04,980868.0418215372,969216.4185473715
2023-01-05,971193.7135592081,959320.5132611117
2023-01-06,996338.3495150186,979728.4210636519
2023-01-09,990523.0386477091,976437.6379646987
2023-01-10,992663.1806917764,981869.3987669407
2023-01-11,999856.1981173136,989703.3015027811
2023-01-12,994459.704236088,996023.7034703776
2023-01-13,1000352.9264345743,999305.1552112107
2023-01-17,1001034.6426516153,987892.4490422499
2023-01-18,977464.0610628702,970008.5598141194
2023-01-19,966359.5432863809,962655.5634126097
2023-01-20,978055.822796879,972296.2219151725
2023-01-23,984392.277585087,979697.8096571362
2023-01-24,987056.6448183634,982739.2634190051
2023-01-25,990183.5891390421,983027.056159072
2023-01-26,993050.1549654581,989015.7397252074
2023-01-27,997113.0231142618,989850.8962769475
2023-01-30,993279.5541811563,982247.7739590016
2023-01-31,1007323.4044466593,992996.0191515884
2023-02-01,1018430.8044100382,993197.6675246205
2023-02-02,1020790.8246889688,992060.9487897343
2023-02-03,1008917.9434023477,988334.0953942464
2023-02-06,1009394.5907717325,987314.7014181616
2023-02-07,1006991.9660921671,995054.2663993498
2023-02-08,999040.900845585,989004.1324260825
2023-02-09,995352.9108248331,981746.384155627
2023-02-10,998684.8979311563,986681.0794424036
2023-02-13,1010949.9262972452,997653.9600121718
2023-02-14,1007699.4580813028,993090.12931214
2023-02-15,1012413.0713320352,994219.9064269615
2023-02-16,1000882.2160463907,981658.191441688
2023-02-17,1010221.3866854288,985440.691594745
2023-02-21,998034.9277010538,965132.697602319
2023-02-22,998332.3999147989,962671.0398114428
2023-02-23,997220.8314486124,965841.1980371374
2023-02-24,988071.6107149698,956024.0403096463
2023-02-27,990614.5867281534,958126.4408129024
2023-02-28,984495.7452364542,951356.4266997923
2023-03-01,975834.8186464884,951506.1836179132
2023-03-02,984621.8474855997,961461.4909644003
2023-03-03,990984.4291506388,972747.1996252891
2023-03-06,990858.5423861124,973926.250862866
2023-03-07,980032.8632784464,957175.8940522152
2023-03-08,980730.0571566202,955484.4146973898
2023-03-09,967721.603756962,939650.0103441519
2023-03-10,961657.9205904581,929593.0822317968
2023-03-13,965755.2502565958,926956.6321717462
2023-03-14,976580.6056643106,936752.5667493668
2023-03-15,980823.2400026895,928571.4123147071
2023-03-16,986075.2177706339,939407.9640182831
2023-03-17,977408.6117678263,928204.6444217709
2023-03-20,988437.2722445108,939350.5534064351
2023-03-21,995190.5584536173,948556.8485682169
2023-03-22,982449.0131350138,933102.5832613187
2023-03-23,979384.7766085245,935291.5833198105
2023-03-24,990635.5244112589,939145.1497307448
2023-03-27,995056.0196199991,944812.8118181423
2023-03-28,996029.9706240274,943710.7442850552
2023-03-29,1005155.7310457804,953130.5796116197
2023-03-30,1009608.1772127725,957250.7725112756
2023-03-31,1022873.3296022989,969343.9850406949
2023-04-03,1024180.1304445841,978870.1637107125
2023-04-04,1022236.8360720255,973079.6008090515
2023-04-05,1020023.7634859659,975420.0647414179
2023-04-06,1020673.2123232462,975494.9432004783
2023-04-10,1021876.6557894327,978443.993757549
2023-04-11,1024494.7766237833,981306.7861505348
2023-04-12,1016874.0027895548,980191.3474640441
2023-04-13,1026999.519558964,991354.49670182
2023-04-14,1022590.4393587686,987182.1278546274
2023-04-17,1029307.9945345499,990116.0434040157
2023-04-18,1032043.2229586222,989808.6775713069
2023-04-19,1031283.1452456095,987489.2660932357
2023-04-20,1028786.6341982462,984273.3614533431
2023-04-21,1037270.8492556192,984924.166783688
2023-04-24,1040314.0489016153,986859.6270142363
2023-04-25,1033833.4335756876,976821.5892122217
2023-04-26,1026483.5993319132,970151.602706276
2023-04-27,1042042.75436121,985425.2151959118
2023-04-28,1046830.2625094034,993349.1313984953
2023-05-01,1044681.8434267618,991995.6292828942
2023-05-02,1042871.1404238321,981299.2755452188
2023-05-03,1034433.8243074991,973425.088653592
2023-05-04,1030441.7972994425,965078.7578005033
2023-05-05,1042980.4278078653,981003.5170116348
2023-05-08,1041635.6732302286,979381.2262633578
2023-05-09,1039177.5388308145,977724.1136177061
2023-05-10,1039392.7853060343,976836.1552346529
2023-05-11,1042970.7325106241,970374.189736553
2023-05-12,1043583.3248568155,970115.1876501979
2023-05-15,1042054.3878603555,971512.9568183437
2023-05-16,1034469.3600283243,961711.1616926355
2023-05-17,1039841.2599917032,973615.3573215997
2023-05-18,1040563.4833651163,976969.639174589
2023-05-19,1038657.0041628458,973786.0528969656
2023-05-22,1026354.5969973184,969706.087254571
2023-05-23,1018303.1425753214,962974.6503414935
2023-05-24,1012504.5630007364,955528.7955469849
2023-05-25,1005682.7868929483,954501.2650818075
2023-05-26,1014719.5576143839,964076.6609760555
2023-05-30,1008292.9161501505,962603.7857547487
2023-05-31,1006492.601224003,958685.1843296
2023-06-01,1009260.7240877725,963151.1495664219
2023-06-02,1025956.5831728555,983578.2890704533
2023-06-05,1024157.2487307169,977754.7250242217
