date,ddpg,dji
2022-09-14,997929.9446756135,907028.8341241849
2022-09-15,990548.9630319368,901981.1383665162
2022-09-16,989817.5449868928,897920.1199329871
2022-09-19,998603.2168771516,903666.7002747288
2022-09-20,989714.9946481477,894535.2835720076
2022-09-21,980117.0120736848,879315.2125945113
2022-09-22,972524.6945993196,876195.1819694492
2022-09-23,954297.9981118928,862029.1561698371
2022-09-26,954168.9694406282,852427.2455628823
2022-09-27,943255.4908487092,848761.8425745262
2022-09-28,958701.8894693147,864748.0521927895
2022-09-29,937806.1490518342,851401.7634446094
2022-09-30,920886.5547220003,836832.8391886088
2022-10-03,932439.2868844758,859129.9487207732
2022-10-04,951851.3264047395,883176.403407812
2022-10-05,946305.2366830598,881939.7139642864
2022-10-06,934554.1743509065,871832.9427439246
2022-10-07,915287.4722329866,853475.3732941538
2022-10-10,916014.384311844,850739.6353077653
2022-10-11,919280.7704965364,851797.3788897824
2022-10-12,923486.4314004671,850971.7812902628
2022-10-13,937320.3827096712,875089.359133704
2022-10-14,915344.0269510042,863323.1993266856
2022-10-17,932760.447101761,879374.6715532638
2022-10-18,945116.9429361116,889220.7337315168
2022-10-19,938994.1396066438,886307.8137378986
2022-10-20,924477.1280709993,883679.5001669403
2022-10-21,942211.5883371126,905498.54829103
2022-10-24,955480.6141702425,917648.3179544206
2022-10-25,971192.8243905794,927469.34478162
2022-10-26,973603.0831033479,927538.3626925929
2022-10-27,973146.7051736604,933194.9295675916
2022-10-28,988794.3626901399,957331.4546198986
2022-10-31,982840.0435678255,953577.7451205532
2022-11-01,977858.7724191438,951254.4645427738
2022-11-02,955426.58295076,936529.9797190897
2022-11-03,951543.7052499544,932261.8506541168
2022-11-04,961916.3942147981,943972.0792109404
2022-11-07,966406.2790109407,956317.6366992756
2022-11-08,967831.9430276643,966042.7326131193
2022-11-09,952303.6616403352,947197.5428030535
2022-11-10,986909.5301400911,982197.7032568944
2022-11-11,992478.6810647737,983144.153323773
2022-11-14,982492.8506204378,976992.6261787383
2022-11-15,992121.4019510042,978630.5071228988
2022-11-16,991522.8993112337,977491.6262440578
2022-11-17,988096.478717972,977272.908313489
2022-11-18,996201.2010232698,983080.9959608875
2022-11-21,999355.5239450227,981758.1052518021
2022-11-22,1007689.3571664583,993347.4244427414
2022-11-23,1014029.153049637,996142.848981983
2022-11-25,1014668.4488717805,1000599.2552665843
2022-11-28,1010174.8969461214,986104.0146006166
2022-11-29,1006491.7892495882,986193.4590821085
2022-11-30,1030500.6497384798,1007670.7177657906
2022-12-01,1027028.5344735872,1001997.0244347303
2022-12-02,1030106.8297769319,1003012.7769052073
2022-12-05,1012722.5209543001,988948.4856685133
2022-12-06,1003979.5877572786,978730.0795418622
2022-12-07,1005550.3705789339,978776.1673472109
2022-12-08,1012074.7478372346,984123.604535222
2022-12-09,1005142.7489206087,975237.7618669271
2022-12-12,1013649.9893228303,990636.3235177308
2022-12-13,1012573.7855874788,993654.4488842995
2022-12-14,1010140.0338937532,989509.2775321152
2022-12-15,993126.2798654329,967248.5261575038
2022-12-16,984732.0098459016,959040.3449234111
2022-12-19,980252.7366220247,954294.0975518386
2022-12-20,976797.4779855501,956980.0493287453
2022-12-21,987989.446598221,972325.1263659345
2022-12-22,979957.8243142854,962158.2703030438
2022-12-23,985464.7840615999,967298.3692655106
2022-12-27,985091.9566690217,968394.57625051
2022-12-28,973795.3484994661,957736.685915817
2022-12-29,983044.9749795686,967789.858725514
2022-12-30,978734.3914987337,965647.1740664716
2023-01-03,974519.561542679,965330.2492815424
2023-01-04,980868.1552469026,969216.4185473715
2023-01-05,971193.8844186555,959320.5132611117
2023-01-06,996338.4916574251,979728.4210636519
2023-01-09,990523.1807901155,976437.6379646987
2023-01-10,992663.2941171419,981869.3987669407
2023-01-11,999856.34025972,989703.3015027811
2023-01-12,994459.7413675081,996023.7034703776
2023-01-13,1000353.0685769807,999305.1552112107
2023-01-17,1001034.8610879671,987892.4490422499
2023-01-18,977464.2032052766,970008.5598141194
2023-01-19,966359.7141458284,962655.5634126097
2023-01-20,978055.9649392854,972296.2219151725
2023-01-23,984392.3434335481,979697.8096571362
2023-01-24,987056.7869607698,982739.2634190051
2023-01-25,990183.7312814485,983027.056159072
2023-01-26,993050.2208139192,989015.7397252074
2023-01-27,997113.1652566682,989850.8962769475
2023-01-30,993279.7439004671,982247.7739590016
2023-01-31,1007323.5465890657,992996.0191515884
2023-02-01,1018431.0228463899,993197.6675246205
2023-02-02,1020790.9668313753,992060.9487897343
2023-02-03,1008918.0379678499,988334.0953942464
2023-02-06,1009394.6566201936,987314.7014181616
2023-02-07,1006992.0606576692,995054.2663993498
2023-02-08,999041.0429879915,989004.1324260825
2023-02-09,995353.0529672395,981746.384155627
2023-02-10,998685.0400735628,986681.0794424036
2023-02-13,1010950.0971566926,997653.9600121718
2023-02-14,1007699.6002237092,993090.12931214
2023-02-15,1012413.1847574007,994219.9064269615
2023-02-16,1000882.3581887971,981658.191441688
2023-02-17,1010221.6051217805,985440.691594745
2023-02-21,998035.0222665559,965132.697602319
2023-02-22,998332.5420572053,962671.0398114428
2023-02-23,997220.9448739778,965841.1980371374
2023-02-24,988071.7528573762,956024.0403096463
2023-02-27,990614.7575876008,958126.4408129024
2023-02-28,984495.8398019563,951356.4266997923
2023-03-01,975834.9895059358,951506.1836179132
2023-03-02,984621.9896280061,961461.4909644003
2023-03-03,990984.5712930452,972747.1996252891
2023-03-06,990858.6558114778,973926.250862866
2023-03-07,980033.0054208528,957175.8940522152
2023-03-08,980730.275592972,955484.4146973898
2023-03-09,967721.7458993684,939650.0103441519
2023-03-10,961658.0627328645,929593.0822317968
2023-03-13,965755.4399759065,926956.6321717462
2023-03-14,976580.6715127717,936752.5667493668
2023-03-15,980823.3345681917,928571.4123147071
2023-03-16,986075.283619095,939407.9640182831
2023-03-17,977408.6776162874,928204.6444217709
2023-03-20,988437.4143869173,939350.5534064351
2023-03-21,995190.7005960237,948556.8485682169
2023-03-22,982449.1552774202,933102.5832613187
2023-03-23,979384.9187509309,935291.5833198105
2023-03-24,990635.6665536653,939145.1497307448
2023-03-27,995056.1617624055,944812.8118181423
2023-03-28,996030.1127664339,943710.7442850552
2023-03-29,1005155.8731881868,953130.5796116197
2023-03-30,1009608.319355179,957250.7725112756
2023-03-31,1022873.4717447053,969343.9850406949
2023-04-03,1024180.2725869905,978870.1637107125
2023-04-04,1022236.9782144319,973079.6008090515
2023-04-05,1020023.9056283723,975420.0647414179
2023-04-06,1020673.3544656526,975494.9432004783
2023-04-10,1021876.7979318391,978443.993757549
2023-04-11,1024494.9187661897,981306.7861505348
2023-04-12,1016874.1449319612,980191.3474640441
2023-04-13,1026999.6617013704,991354.49670182
2023-04-14,1022590.5815011751,987182.1278546274
2023-04-17,1029308.1366769563,990116.0434040157
2023-04-18,1032043.3651010286,989808.6775713069
2023-04-19,1031283.2873880159,987489.2660932357
2023-04-20,1028786.7763406526,984273.3614533431
2023-04-21,1037270.9913980257,984924.166783688
2023-04-24,1040314.1910440217,986859.6270142363
2023-04-25,1033833.575718094,976821.5892122217
2023-04-26,1026483.7414743196,970151.602706276
2023-04-27,1042042.8965036165,985425.2151959118
2023-04-28,1046830.4046518098,993349.1313984953
2023-05-01,1044681.9855691682,991995.6292828942
2023-05-02,1042871.2825662385,981299.2755452188
2023-05-03,1034433.9664499055,973425.088653592
2023-05-04,1030441.9394418489,965078.7578005033
2023-05-05,1042980.5699502717,981003.5170116348
2023-05-08,1041635.815372635,979381.2262633578
2023-05-09,1039177.680973221,977724.1136177061
2023-05-10,1039392.9274484407,976836.1552346529
2023-05-11,1042970.8746530305,970374.189736553
2023-05-12,1043583.466999222,970115.1876501979
2023-05-15,1042054.530002762,971512.9568183437
2023-05-16,1034469.5021707307,961711.1616926355
2023-05-17,1039841.4021341096,973615.3573215997
2023-05-18,1040563.6255075227,976969.639174589
2023-05-19,1038657.1463052522,973786.0528969656
2023-05-22,1026354.7391397249,969706.087254571
2023-05-23,1018303.2847177278,962974.6503414935
2023-05-24,1012504.7051431428,955528.7955469849
2023-05-25,1005682.9290353548,954501.2650818075
2023-05-26,1014719.6997567903,964076.6609760555
2023-05-30,1008293.0582925569,962603.7857547487
2023-05-31,1006492.7433664094,958685.1843296
2023-06-01,1009260.866230179,963151.1495664219
2023-06-02,1025956.725315262,983578.2890704533
2023-06-05,1024157.3908731233,977754.7250242217
2023-06-06,1023565.1057473909,978058.3355542725
2023-06-07,1019157.705417801,980730.8592792504
2023-06-08,1028516.8682748567,985642.2261707269
2023-06-09,1028883.3505899202,986899.9111700227
2023-06-12,1033885.8011056673,992421.7992360577
2023-06-13,1040058.4419137727,996669.0465423109
2023-06-14,1044299.7038461458,989887.3113330255
2023-06-15,1053677.8039895785,1002377.1065825449
2023-06-16,1054101.6447183383,999203.534445343
2023-06-20,1050799.2885934603,992058.9004428298
2023-06-21,1049617.6640054476,989077.1901323391
2023-06-22,1057886.5681955111,988937.1059634889
2023-06-23,1049334.384967972,982548.9947509972
2023-06-26,1046347.3188974153,982178.4715554032
2023-06-27,1055153.5007669223,988355.2616455918
2023-06-28,1051397.2276651156,986197.2143847665
2023-06-29,1051037.8169290316,994055.9248775601
