date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2022-04-27,914297.0132172126,972840.0073999789,959881.1447764284,1004203.68269812,1022450.4769843522,970153.3096620296,879088.3268000826
2022-04-28,931895.204669239,988107.2513117221,978422.0345545656,1019642.2263535155,1046807.0775626603,988053.8132594957,909692.9234578089
2022-04-29,889093.5921509285,951317.3088373569,941024.7138911134,986243.304875244,1014874.236803383,960693.5884693546,869044.9350113473
2022-05-02,896969.0728180427,953368.0112757114,950746.0414591676,986135.6646317138,1020404.324732155,963149.1012195174,883988.941613369
2022-05-03,894938.2162964363,953966.9974359897,957701.9514246827,988635.8265885009,1029416.4103721086,965109.369207019,884938.8405199093
2022-05-04,920050.5743591804,979520.2867273715,988192.7951365358,1014969.4539230956,1062847.7180427017,992268.2870152786,915077.6645347638
2022-05-05,875519.3617355842,945855.3471369174,951063.2629023439,983382.1718338622,1031359.0958426896,961298.3059943506,868757.6150195998
2022-05-06,866896.7537033577,941040.4547724155,949395.4246760255,977435.329258789,1031080.3313926164,958425.9546491443,858142.3560965545
2022-05-09,837588.8909111901,918396.9546961215,906848.7218485719,952314.7574051513,992811.1479590837,939383.15626133,823947.1838250464
2022-05-10,834322.3593173714,912677.7841333774,905064.3093424684,948363.7985581054,994487.412836403,936908.1273170502,834638.23395915
2022-05-11,810272.5097232552,898318.7593378451,890539.0386134034,937074.1409805907,986451.711336464,927392.7024682808,809063.321642253
2022-05-12,814390.4462466927,899373.5788416293,893768.4105540162,939542.5380295409,982557.117410988,924368.5458580491,807571.9909222199
2022-05-13,841894.1084247322,920349.294646683,919643.298119629,958086.3337601317,1004871.7167380754,937954.548092568,837446.5360016505
2022-05-16,828471.9296756478,913569.0846247104,915260.8719569093,954549.6778305663,1006550.437975258,938734.1147852638,827723.606354446
2022-05-17,843778.9236888619,927845.9520868686,935086.6849604493,970837.7010544433,1028362.5713981095,951294.9762926606,849392.2343717763
2022-05-18,789376.8540523414,882878.8050074008,892265.8065348512,930556.1045273436,995025.1286414567,917370.1410650994,806409.837012585
2022-05-19,786807.2517049179,877899.1327204135,889142.7521448976,928567.5141647948,990328.2335532609,910467.6102869802,802848.4423354652
2022-05-20,776453.8615758285,870537.65380806,880850.5896845704,925568.7211655272,989607.1399863664,910723.0846647779,800143.593975655
2022-05-23,784742.8418156967,881806.4191584018,895381.1325007326,937335.9797257079,1009088.9158805314,928736.5887331362,813573.955023726
2022-05-24,771790.8816106186,879150.1961664584,886348.6461573488,935130.441090454,1007423.9916556779,930145.9652004068,795696.5380647824
2022-05-25,788621.3323399887,889530.6336054233,902850.3962336427,942894.2828720702,1016294.2931388322,935729.4174706239,807465.8304105632
2022-05-26,820515.8405339584,912609.7855829623,930103.6872797853,962164.8606003417,1033155.4358085099,950788.0673323491,829968.755931504
2022-05-27,844576.328593956,933821.9395594028,953746.1386729127,983311.5937851561,1057716.559961647,967561.4680456745,857323.6393645554
2022-05-31,846672.0174825058,930255.8996729281,950288.5053263551,976105.8585251464,1045894.4353888932,961069.6877204106,854665.4012791417
